Namecoin Mining Distribution
Block: 87838
20 Dec 2012 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%           1,247      100.00%               0           

            BTC Guild-1a0       30.82%             381        0.00%               0                     29.68%
            BitMinter-1a0       27.63%             345        0.00%               0                     30.46%
                Slush-1a0       11.99%             151        0.00%               0                     38.67%
               OzCoin-1a0        8.81%             109        0.00%               0                     27.82%
            EclipseMC-1a0        6.76%              84        0.00%               0                     25.49%
              Unknown-1a0        6.10%              76        0.00%               0                     26.09%
              Eligius-1a0        3.11%              38        0.00%               0                     23.40%
               MaxBTC-1a0        2.39%              29        0.00%               0                     44.44%
         TripleMining-1a0        1.33%              16        0.00%               0                     35.00%
          poolserverj-1a0        1.06%              13        0.00%               0                     12.50%
